fecha,nro_casos
2023-11-07,1295
2023-11-08,1229
2023-11-09,1078
2023-11-10,1184
2023-11-11,951
2023-11-12,306
2023-11-13,1572
2023-11-14,1189
2023-11-15,1182
2023-11-16,1127
2023-11-17,1198
2023-11-18,1025
2023-11-19,320
2023-11-20,1520
2023-11-21,1295
2023-11-22,1248
2023-11-23,1117
2023-11-24,1104
2023-11-25,886
2023-11-26,310
2023-11-27,1385
2023-11-28,1148
2023-11-29,1088
2023-11-30,1010
2023-12-01,1120
2023-12-02,901
2023-12-03,236
2023-12-04,1438
2023-12-05,1093
2023-12-06,1220
2023-12-07,1029
2023-12-08,317
2023-12-09,350
2023-12-10,230
2023-12-11,1515
2023-12-12,1297
2023-12-13,1142
2023-12-14,998
2023-12-15,1065
2023-12-16,880
2023-12-17,254
2023-12-18,1320
2023-12-19,1031
2023-12-20,1116
2023-12-21,916
2023-12-22,926
2023-12-23,649
2023-12-24,188
2023-12-25,191
2023-12-26,854
2023-12-27,1045
2023-12-28,1004
2023-12-29,878
2023-12-30,592
2023-12-31,133
2024-01-01,239
2024-01-02,871
2024-01-03,1071
2024-01-04,1059
2024-01-05,1008
2024-01-06,802
2024-01-07,235
2024-01-08,1354
2024-01-09,1050
2024-01-10,1188
2024-01-11,1202
2024-01-12,1253
2024-01-13,838
2024-01-14,260
2024-01-15,1513
2024-01-16,1267
2024-01-17,1207
2024-01-18,1239
2024-01-19,1138
2024-01-20,989
2024-01-21,255
2024-01-22,1495
2024-01-23,1312
2024-01-24,1224
2024-01-25,1074
2024-01-26,1220
2024-01-27,927
2024-01-28,303
2024-01-29,1430
2024-01-30,1170
2024-01-31,889
2024-02-01,1306
2024-02-02,1272
2024-02-03,911
2024-02-04,287
2024-02-05,1533
2024-02-06,1209
2024-02-07,1214
2024-02-08,1240
2024-02-09,1309
2024-02-10,983
2024-02-11,227
2024-02-12,1505
2024-02-13,1357
2024-02-14,1079
2024-02-15,1292
2024-02-16,1348
2024-02-17,961
2024-02-18,295
2024-02-19,1503
2024-02-20,1332
2024-02-21,1279
2024-02-22,1272
2024-02-23,1305
2024-02-24,874
2024-02-25,250
2024-02-26,1500
2024-02-27,1251
2024-02-28,1243
2024-02-29,1089
2024-03-01,1212
2024-03-02,912
2024-03-03,242
2024-03-04,1481
2024-03-05,1359
2024-03-06,1372
2024-03-07,1233
2024-03-08,1234
2024-03-09,974
2024-03-10,335
2024-03-11,1469
2024-03-12,1285
2024-03-13,1272
2024-03-14,1170
2024-03-15,1275
2024-03-16,1061
2024-03-17,289
2024-03-18,1487
2024-03-19,1252
2024-03-20,1290
2024-03-21,1189
2024-03-22,1251
2024-03-23,1040
2024-03-24,306
2024-03-25,1398
2024-03-26,1193
2024-03-27,1203
2024-03-28,349
2024-03-29,305
2024-03-30,789
2024-03-31,196
2024-04-01,1390
2024-04-02,1207
2024-04-03,1115
2024-04-04,1178
2024-04-05,1251
2024-04-06,913
2024-04-07,284
2024-04-08,1447
2024-04-09,1247
2024-04-10,1170
2024-04-11,1148
2024-04-12,1181
2024-04-13,895
2024-04-14,252
2024-04-15,1514
2024-04-16,1235
2024-04-17,1181
2024-04-18,1131
2024-04-19,1128
2024-04-20,894
2024-04-21,281
2024-04-22,1413
2024-04-23,1245
2024-04-24,1098
2024-04-25,1025
2024-04-26,993
2024-04-27,904
2024-04-28,284
2024-04-29,1237
2024-04-30,941
2024-05-01,391
2024-05-02,1089
2024-05-03,937
2024-05-04,765
2024-05-05,256
2024-05-06,1250
2024-05-07,972
2024-05-08,1098
2024-05-09,796
2024-05-10,862
2024-05-11,631
2024-05-12,208
2024-05-13,1198
2024-05-14,1074
2024-05-15,1087
2024-05-16,1065
2024-05-17,1089
2024-05-18,774
2024-05-19,271
2024-05-20,1323
2024-05-21,1058
2024-05-22,1169
2024-05-23,985
2024-05-24,919
2024-05-25,779
2024-05-26,327
2024-05-27,1165
2024-05-28,936
2024-05-29,866
2024-05-30,987
2024-05-31,554
2024-06-01,666
2024-06-02,194
2024-06-03,971
2024-06-04,775
2024-06-05,841
2024-06-06,778
2024-06-07,247
2024-06-08,712
2024-06-09,227
2024-06-10,1052
2024-06-11,856
2024-06-12,854
2024-06-13,811
2024-06-14,714
2024-06-15,571
2024-06-16,197
2024-06-17,884
2024-06-18,806
2024-06-19,735
2024-06-20,743
2024-06-21,644
2024-06-22,504
2024-06-23,129
2024-06-24,519
2024-06-25,474
2024-06-26,413
2024-06-27,317
2024-06-28,203
2024-06-29,60
2024-06-30,5
